id,r,sc,tc,nv,ne,has_code
1,73.0,31.0,45.66465581700212,3538,6901,true
2,72.0,31.0,45.65866317128978,3538,6901,true
3,72.5,31.0,45.40522916386065,3539,6903,true
4,71.0,31.0,45.39734081863025,3540,6903,true
5,70.0,31.0,45.39606604721598,3540,6903,true
6,71.0,31.0,45.8535262120085,3540,6902,true
7,72.5,31.0,45.160759481764316,3539,6899,true
8,75.5,31.0,45.4430537088922,3537,6894,true
9,75.0,31.0,45.51602080199457,3538,6899,true
10,48.0,31.0,46.06708297900218,3548,6915,true
11,61.5,31.0,44.42144180781733,3541,6901,true
12,61.0,31.0,46.11533541422203,3542,6906,true
13,63.5,31.0,46.20236218851148,3543,6909,true
14,48.0,31.0,46.36332411808048,3550,6924,true
15,47.0,31.0,46.42473178359185,3550,6923,true
16,48.0,31.0,46.37442094438269,3550,6923,true
17,58.5,31.0,46.23618672728883,3545,6912,true
18,59.5,31.0,46.04853409171658,3543,6906,true
19,58.0,31.0,46.05834600515348,3544,6908,true
20,69.5,31.0,43.02816499164081,3535,6887,true
21,69.0,31.0,43.69851212168476,3536,6887,true
22,47.5,31.0,45.64383275360496,3549,6927,true
23,58.0,31.0,45.079801786295,3542,6905,true
24,56.5,31.0,45.079622183854056,3543,6907,true
25,53.5,31.0,45.177590302213964,3545,6911,true
26,47.5,31.0,43.86892081088798,3547,6918,true
27,50.5,31.0,44.76480179476534,3543,6904,true
28,41.0,31.0,44.59671821198417,3550,6920,true
29,44.5,31.0,44.423213900223864,3549,6920,true
30,48.0,31.0,43.78514827299719,3548,6918,true
31,43.0,31.0,46.428356412813926,3550,6920,true
32,40.0,31.0,45.41207816233501,3554,6934,true
33,46.0,31.0,45.089964652370824,3552,6930,true
34,44.5,31.0,44.71958520797358,3551,6925,true
35,43.5,31.0,45.25842331823323,3551,6925,true
36,43.0,31.0,44.695484914657854,3552,6926,true
37,39.0,31.0,45.164522948279036,3552,6926,true
38,49.0,31.0,42.31506714550894,3544,6906,true
39,52.0,31.0,44.39864908075612,3542,6900,true
40,50.0,31.0,45.46322590284431,3548,6918,true
41,59.5,31.0,43.75538351934855,3541,6904,true
42,49.0,31.0,45.64062394656366,3548,6918,true
43,55.0,31.0,45.11140223637256,3546,6915,true
44,51.0,31.0,45.111870285296504,3548,6919,true
