slice_num,model_name,n,vertices,h,max_sc,graph_type,family,total_tc,model_path,edges,subdir,sc_target,seed
5,spin_glass_J±1_grid_n=60_seed=5_cheating,60,3600,0.5,31.0,grid_Jpm1,j1pm1,47.67463095025713,/data/wangyijia/mwis/beyond_mis/hacked_funcs/benchmarks/models/spin_glass_models/nn_pm1/spin_glass_J±1_grid_n=60_seed=5.model,7080,grid_Jpm1_n=60_seed=5_cheating,31,5
5,spin_glass_J±1_grid_n=60_seed=4_cheating,60,3600,0.5,31.0,grid_Jpm1,j1pm1,47.598978297684376,/data/wangyijia/mwis/beyond_mis/hacked_funcs/benchmarks/models/spin_glass_models/nn_pm1/spin_glass_J±1_grid_n=60_seed=4.model,7080,grid_Jpm1_n=60_seed=4_cheating,31,4
6,spin_glass_J±1_grid_n=60_seed=6_cheating,60,3600,0.5,31.0,grid_Jpm1,j1pm1,47.88405772062828,/data/wangyijia/mwis/beyond_mis/hacked_funcs/benchmarks/models/spin_glass_models/nn_pm1/spin_glass_J±1_grid_n=60_seed=6.model,7080,grid_Jpm1_n=60_seed=6_cheating,31,6
4,spin_glass_J±1_grid_n=60_seed=9_cheating,60,3600,0.5,31.0,grid_Jpm1,j1pm1,47.16473287949566,/data/wangyijia/mwis/beyond_mis/hacked_funcs/benchmarks/models/spin_glass_models/nn_pm1/spin_glass_J±1_grid_n=60_seed=9.model,7080,grid_Jpm1_n=60_seed=9_cheating,31,9
3,spin_glass_J±1_grid_n=60_seed=2_cheating,60,3600,0.5,31.0,grid_Jpm1,j1pm1,47.14314289274009,/data/wangyijia/mwis/beyond_mis/hacked_funcs/benchmarks/models/spin_glass_models/nn_pm1/spin_glass_J±1_grid_n=60_seed=2.model,7080,grid_Jpm1_n=60_seed=2_cheating,31,2
3,spin_glass_J±1_grid_n=60_seed=3_cheating,60,3600,0.5,31.0,grid_Jpm1,j1pm1,46.24535475667161,/data/wangyijia/mwis/beyond_mis/hacked_funcs/benchmarks/models/spin_glass_models/nn_pm1/spin_glass_J±1_grid_n=60_seed=3.model,7080,grid_Jpm1_n=60_seed=3_cheating,31,3
4,spin_glass_J±1_grid_n=60_seed=10_cheating,60,3600,0.5,31.0,grid_Jpm1,j1pm1,47.68451345979319,/data/wangyijia/mwis/beyond_mis/hacked_funcs/benchmarks/models/spin_glass_models/nn_pm1/spin_glass_J±1_grid_n=60_seed=10.model,7080,grid_Jpm1_n=60_seed=10_cheating,31,10
16,spin_glass_J±1_grid_n=60_seed=1_cheating,60,3600,0.5,31.0,grid_Jpm1,j1pm1,49.937935691930065,/data/wangyijia/mwis/beyond_mis/hacked_funcs/benchmarks/models/spin_glass_models/nn_pm1/spin_glass_J±1_grid_n=60_seed=1.model,7080,grid_Jpm1_n=60_seed=1_cheating,31,1
32,spin_glass_J±1_grid_n=60_seed=8_cheating,60,3600,0.5,31.0,grid_Jpm1,j1pm1,50.10327119961814,/data/wangyijia/mwis/beyond_mis/hacked_funcs/benchmarks/models/spin_glass_models/nn_pm1/spin_glass_J±1_grid_n=60_seed=8.model,7080,grid_Jpm1_n=60_seed=8_cheating,31,8
44,spin_glass_J±1_grid_n=60_seed=7_cheating,60,3600,0.5,31.0,grid_Jpm1,j1pm1,50.86857405717859,/data/wangyijia/mwis/beyond_mis/hacked_funcs/benchmarks/models/spin_glass_models/nn_pm1/spin_glass_J±1_grid_n=60_seed=7.model,7080,grid_Jpm1_n=60_seed=7_cheating,31,7
