name,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
1,62.0,87.39458807907874,66.81791823824044,32.0,136.47940964282037,126.51047228610048,87
2,68.0,97.00369391713531,70.33045304512142,32.0,147.2543311758898,137.1048805380422,98
3,66.0,95.02687506670229,68.45051414271668,32.0,131.27643704330927,122.28279037217932,83
4,63.0,92.04509496746364,67.34732077246682,32.0,152.7459828090275,143.81395966357687,104
5,71.0,101.17493579947353,74.42336113895256,32.0,150.25276334238148,141.1987321773538,102
6,63.0,86.6175037799691,65.38537155877378,32.0,133.51356732916,123.4821256147022,84
7,71.0,98.09313319190669,73.7031453004248,32.0,133.59811195528212,124.6770444817663,85
8,66.0,93.00042407607963,68.16510929619436,32.0,143.20214284184357,133.85883847159218,94
9,68.0,93.46079357138703,70.03355753180487,32.0,156.37539009314193,146.60870501043254,108
10,69.0,101.0065456849911,72.89382668998996,32.0,168.05966266275044,159.9208148949486,120
