name,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
1,46.0,66.03397914237736,48.1381308786394,32.0,70.14205835305566,59.87928829646077,22
2,37.0,51.696374610487844,41.38482205689579,32.0,51.41313685845443,42.958221163989066,5
3,41.0,60.25122092326308,46.34706838759306,32.0,61.46285921712495,52.89402800686625,14
4,33.0,49.6371471606993,36.977233278263476,32.0,50.065215246621605,39.04653764450829,2
5,45.0,66.01238289473979,49.87241987639291,32.0,67.94100827137673,58.50303945920587,20
6,30.0,44.61409871611639,34.376168646405404,30.0,44.61409871611639,34.376168646405404,0
7,38.0,54.259542434503,42.36993467098924,32.0,54.22473754493619,44.63821344458944,7
8,37.0,52.49405923392165,41.18055592357492,32.0,53.38885887399923,45.3135798925797,7
9,38.0,53.51570282957175,42.1628236821147,32.0,54.45432355027082,44.7204043968826,7
10,42.0,57.20014812803207,43.6298076481918,32.0,58.10792493802731,48.39799564070671,11
