name,ds,total_tc,num_branch
1,1,66.03349897375803,2
1,2,65.0197199595722,2
1,3,64.60490227751559,3
1,4,63.73491517099096,6
1,5,63.049252063111,10
1,6,62.06537474464217,11
1,7,61.08373104210932,19
1,8,60.86484714655076,27
1,9,60.44867436919798,61
1,10,59.34277105848275,111
2,1,50.6987232243598,2
2,2,50.75594171664244,3
2,3,50.36797756274242,4
2,4,50.11724249159633,8
2,5,49.63177647002739,13
2,6,49.160198133175456,20
2,7,48.49476804448615,33
2,8,48.406123270885786,54
2,9,48.10875226397013,85
2,10,47.85923631986793,154
3,1,58.09951431560407,2
3,2,56.416511752485576,6
3,3,57.76410341338533,7
3,4,55.719069436633006,14
3,5,56.459030688016156,18
3,6,55.66690323680507,26
3,7,54.2449936752022,53
3,8,54.538976998631206,76
3,9,53.98329578824726,159
3,10,54.216063889472636,394
4,1,49.112624754572266,3
4,2,47.644118502858475,5
4,3,47.72687793742419,15
4,4,48.16789520505015,41
4,5,47.69765716782388,77
4,6,47.54925619676354,200
4,7,47.621337363045505,532
4,8,48.64605303491757,2705
4,9,48.06184358627982,4267
4,10,48.53649819957251,15115
5,1,61.80295329134914,2
5,2,64.0663616469628,2
5,3,60.62033379347179,3
5,4,60.887811136525656,4
5,5,60.58473095498939,6
5,6,60.7695343966542,23
5,7,60.366257419716405,33
5,8,59.962954321936664,89
5,9,59.1865196810162,105
5,10,58.75244881790092,212
6,1,44.31152984915579,2
6,2,45.73426213098404,10
6,3,44.6004980657499,25
6,4,44.4231406528116,39
6,5,42.93813402463391,59
6,6,43.23952367704993,161
1,11,58.81267785049686,217
1,12,58.64058639763842,368
1,13,57.473311743616954,572
1,14,57.564351787988436,1511
1,15,56.92662419786364,2644
2,11,47.95758662605979,505
2,12,48.63842746860081,2029
2,13,49.23832198871004,6606
2,14,49.641229445689454,25004
