name,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
1,44.0,61.09062197029193,47.44296858764616,32.0,63.82960985781514,54.5782554123949,17
2,44.0,62.05958219751517,48.13113467908905,32.0,75.88136247055527,66.84729500132529,28
3,43.0,60.372668356257165,46.008998449100076,32.0,60.844826470445156,51.898726080326696,14
4,47.0,66.59122277713118,50.98009003523307,32.0,70.17942047559444,61.68674317657945,23
5,45.0,65.32807730126697,49.99014169515417,32.0,71.79115639868044,63.196048565056714,24
6,41.0,59.66358212967977,44.75662710470513,32.0,69.80677732839649,59.52569160023255,21
7,46.0,63.586205266503256,49.25172175880492,32.0,70.50404427052962,62.119370463957004,24
8,43.0,61.812061982723876,47.6511479609763,32.0,64.21844073885163,54.56075288882919,17
9,46.0,67.23485559283654,49.25976495666538,32.0,81.19924596007439,70.30071288198356,33
10,43.0,64.26948552749758,46.70855024021954,32.0,72.38248384051067,62.68157282966747,24
