name,scip_runtime,sc,ds_nslice,ds_tc,ds_slice_runtime,ds_contract_runtime,tnbb_nbranch,tnbb_tc,tnbb_branch_runtime,tnbb_contract_runtime
1,872.068653066,44.0,21,66.20965606317904,61.006329789,5.047283375249818e7,1,44.69396127111886,2.127835738,5.902290528
2,32445.152181317,44.0,29,75.65041025883221,66.949924864,2.7859547872779305e10,10,49.57231681943466,124.920318084,231.686389407
3,1118.803770124,43.0,16,61.1634548154735,57.56729111,1.40269084934144e6,2,43.35421370315543,19.813680611,9.673429265
4,5622.643408795,47.0,24,71.2974652778751,76.38397765,9.556337297478124e8,17,49.92898685562943,183.734679136,302.050931892
5,2004.342788639,45.0,32,77.70544513901737,75.64854067,2.113353606716373e11,37,50.49843548848617,211.237163967,468.777305698
6,3587.746154543,41.0,24,71.34062639560008,58.103850306,9.733001260658852e8,1,45.229176618373614,0.554599389,8.4111506
7,1117.541271377,46.0,27,72.69758605520741,77.042603437,4.0686307563085494e9,2,45.27569125196774,17.114557049,36.832928996
8,391.626698243,43.0,24,70.2109234736771,63.849802131,5.2029584422259915e8,1,45.19170432441398,0.652520695,9.0620152
9,5334.351375917,46.0,35,82.33194087603194,95.533980006,1.4400442350811995e12,5,48.39533429137361,45.779957612,140.89563828
10,3574.134844598,43.0,26,73.09131280441318,69.185128076,2.838511587034137e9,6,46.672072092309556,87.773279115,54.741342941
