graph,method,num_seeds,runtime_min,runtime_median,runtime_max
ksg60,BBTN,10,0.474038,1.038252,58.651881
ksg60,TN_with_Slicing,10,123.524916,74934.911743,44085119.383554
ksg60,SCIP,10,87.762025,177.872124,445.041860
ksg60,CPLEX,10,5.316327,11.652951,34.116906
ksg70,BBTN,10,8.030126,98.231054,680.014470
ksg70,TN_with_Slicing,10,1402748.416633,1905905920.194500,1440044235176.733398
ksg70,SCIP,10,542.198999,2239.002509,29520.865537
ksg70,CPLEX,10,18.354315,153.969787,2691.722163
ksg80,BBTN,10,6.541545,2097.691841,294234.817926
ksg80,TN_with_Slicing,10,208101108296.498383,206354783155209.812500,4261170477019490816.000000
ksg80,SCIP,9,3332.542120,45687.812709,323992.458953
ksg80,CPLEX,10,61.565879,2229.081099,79979.656028
fact_structured,BBTN,10,862.035820,3133.911665,5111.498970
fact_structured,TN_with_Slicing,10,9142.365860,62583.483765,128712.110900
fact_structured,SCIP,10,5144.030967,17443.448800,78641.689055
fact_structured,CPLEX,10,31.084349,495.413394,1544.646858
fact_random,BBTN,10,3046.079930,12363.350745,78588.851140
fact_random,TN_with_Slicing,10,16850.868280,70037.631205,164882.056950
fact_random,SCIP,5,100060.941010,203866.744985,289019.304607
fact_random,CPLEX,9,36182.789796,151669.431901,287069.126287
