L,method,runtime_min,runtime_median,runtime_max
10,cplex,1.902046,2.210824,3.025555
20,cplex,6.933316,50.227061,859.708720
30,cplex,962.380935,15055.981864,604800.000000
40,cplex,604800.000000,604800.000000,604800.000000
50,cplex,604800.000000,604800.000000,604800.000000
60,cplex,604800.000000,604800.000000,604800.000000
10,bbtn,25.247710,25.827847,28.729838
20,bbtn,48.682177,51.483744,53.910792
30,bbtn,125.082072,161.498439,173.084596
40,bbtn,2012.753027032999,5551.628919912,11599.283939829
50,bbtn,3072.455991749,5930.892744382001,8996.245857725
60,bbtn,6132.788470687999,13331.798783614,26932.312357182
10,slicing,25.247710,25.827847,28.729838
20,slicing,48.682177,51.483744,53.910792
30,slicing,125.082072,161.498439,173.084596
40,slicing,90145.705352,300764.6934305,1791256.357518
50,slicing,750154261.119107,4377054528.892043,27271339305.173256
60,slicing,35116044999002.492,198294487114315.34,2326011041476272.0
