n,seed,bbtn_runtime_s,slice_wall_seconds,total_runtime_s,total_runtime_h
60,2,7833.602784505,5332.963000,13166.565785,3.657379
60,3,5781.500926053,5613.654000,11395.154926,3.165321
60,4,11181.346071097,4045.058000,15226.404071,4.229557
60,5,10647.457952442,3441.072000,14088.529952,3.913481
60,6,9101.647782723,4395.384000,13497.031783,3.749175
60,9,6049.604100396,4896.369000,10945.973100,3.040548
60,10,12267.055382752,6236.847000,18503.902383,5.139973
60,13,20206.978357182,6725.334000,26932.312357,7.481198
60,14,8362.719283720,4531.017000,12893.736284,3.581593
60,16,3215.907470688,2916.881000,6132.788471,1.703552
