n,seed,all_slice_count,per_slice_runtime_s,total_runtime_s,total_runtime_h
50,1,4294967296,240.477423929,1032842671201.382812,286900742.000384
50,2,4194304,444.044533629,1862457763.578249,517349.378772
50,5,8388608,262.153746016,2199105011.059786,610862.503072
50,6,4194304,178.850713043,750154261.119107,208376.183644
50,7,549755813888,236.995450614,130289626840052.875000,36191563011.125801
50,8,8388608,457.145672715,3834815847.302431,1065226.624251
50,9,16777216,1625.498491834,27271339305.173256,7575372.029215
50,11,16777216,410.774427307,6891651294.205837,1914347.581724
50,16,8388608,330.460292456,2772101852.978741,770028.292494
50,17,2097152,325.076822919,681735509.338227,189370.974816
50,18,2097152,212.927510232,446541353.938059,124039.264983
50,20,2097152,338.632357148,710163525.057642,197267.645849
