name,scip_runtime,sc,ds_nslice,ds_tc,ds_slice_runtime,ds_contract_runtime,tnbb_nbranch,tnbb_tc,tnbb_branch_runtime,tnbb_contract_runtime
9,3088.143777887,48.0,39,86.15349756469924,163.109866246,3.300552868530577e13,87,51.330478889134696,414.528537789,1172.2243688980002
2,7233.524989212,52.0,56,103.67513044453571,235.991073419,4.261170477019491e18,32,49.65290774644962,231.429580765,458.3315738889999
6,7823.832564869,51.0,42,88.88287858394582,197.510868418,2.5040437077868734e14,1,51.21231455257675,0.5,6.041545084
3,15075.067116567,54.0,44,90.289543950909,188.123279832,7.610319968425818e14,484,54.36306797523428,1894.078841321,10567.914368859005
4,50001.852357267,49.0,41,88.83372042197745,164.959922765,1.623051955313698e14,6,47.57929453120558,65.836688481,133.361106326
5,69093.784636893,55.0,56,102.98433881372969,280.330339043,4.185121016210923e18,10033,58.924989546681225,38384.115405926,255850.70251984335
7,94703.465985485,49.0,32,78.78758599261184,144.986689193,2.081011081515117e11,75,51.21231455257675,511.99252357,1185.2589495419995
10,102925.880106278,55.0,34,80.85979568850152,215.302867822,8.384309167577031e11,101,52.650734207374754,380.205351784,2117.9268567080003
8,122608.328091661,46.0,38,85.14226490345999,161.585128587,2.0054700851686605e13,89,51.83819830268938,678.349352389,1915.789417937
1,518400.0,52.0,47,95.17038650874403,213.390753126,1.1701321398080052e16,2609,56.64799716119881,8335.586251755,38480.96118524006
