n,seed,count,energy,cplex_pool_runtime,bbtn_2dgrid_direct_runtime
30,6,432,-1363.0,1266.498775628,149.82910180800002
30,2,1008,-1326.0,962.380935133,138.478563956
30,4,2736,-1354.0,1626.895796152,171.816300404
30,7,3456,-1343.0,2522.991595595,153.534592979
30,8,13824,-1359.0,13550.002305611999,164.58435724499998
30,1,46080,-1344.0,16561.961422758,125.082072027
30,5,55296,-1344.0,21024.293512600998,163.423648228
30,3,506880,-1327.0,153100.809001566,167.398993302
30,9,12681216,-1341.0,,173.084596085
30,10,18087936,-1323.0,,159.57322985899998
