name,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
1,31.0,44.25510838240563,34.99029191770135,31.0,44.25510838240563,34.99029191770135,0
2,30.0,42.617209546510566,33.28727426482879,30.0,42.617209546510566,33.28727426482879,0
3,32.0,45.147805349723896,35.610033367581735,32.0,45.147805349723896,35.610033367581735,0
4,32.0,43.9099540291227,34.58469928195235,32.0,43.9099540291227,34.58469928195235,0
5,33.0,46.23596143945149,37.04351970293454,32.0,45.46218224796977,38.10654751252416,1
6,35.0,48.40831615523747,38.156668106075735,32.0,48.48255615023681,39.464577765361604,3
7,31.0,42.306187080298706,34.12426033684543,31.0,42.306187080298706,34.12426033684543,0
8,34.0,48.60198394698454,38.047772749208264,32.0,49.35165816628568,40.36049728092824,3
9,31.0,46.06602750998213,34.66619238289067,31.0,46.06602750998213,34.66619238289067,0
10,34.0,45.91208716327132,38.21747107354952,32.0,44.46006131232799,39.56263047845499,2
