name,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
1,31.0,44.69396127111886,34.525333539279075,31.0,44.69396127111886,34.525333539279075,0
2,34.0,50.90903636675852,38.34476091497997,32.0,52.46267686291743,41.3768422658924,4
3,33.0,44.77346785080476,35.771229267549344,32.0,44.076560059378366,37.865712758618116,1
4,36.0,51.91200253936681,40.285959603705635,32.0,52.177318871472956,41.148372555545464,4
5,35.0,52.36764574723853,38.145983233919225,32.0,53.19449730157101,41.55226390010208,5
6,31.0,45.229176618373614,35.00153442560413,31.0,45.229176618373614,35.00153442560413,0
7,32.0,45.76811316631999,36.63719543152284,32.0,45.76811316631999,36.63719543152284,0
8,31.0,45.19170432441398,35.17943206394241,31.0,45.19170432441398,35.17943206394241,0
9,34.0,50.0826168053454,38.484842875799195,32.0,49.86753391807288,40.00761921664577,3
10,33.0,47.953115125484835,36.12853722915228,32.0,48.20365100358418,37.24545856297641,1
